26.03.2021 13:45:34

TIME STEP: 64 = 1s
VOLTAGE RANGE:
CH1= 15V
CH2= 15V
CH3= 15V
CH4= 30V
CH5= 30V
CH6= 30V
CH7= 30V
CH8= 30V

   N     CH1     CH2     CH3     CH4     CH5     CH6     CH7     CH8

 321    12,6    15,0    12,9     7,6     2,4     0,0     2,0     7,3
 322    12,8    15,0    12,8     7,5     2,2     0,0     2,1     7,4
 323    12,8    15,0    12,8     7,4     2,1     0,0     2,2     7,5
 324    12,9    15,0    12,6     7,3     2,0     0,0     2,4     7,8
 325    13,1    15,0    12,5     7,1     1,9     0,0     2,5     7,9
 326    13,2    15,0    12,4     6,9     1,8     0,0     2,6     8,0
 327    13,2    14,9    12,3     6,8     1,8     0,0     2,7     8,1
 328    13,4    14,9    12,2     6,7     1,6     0,0     2,8     8,4
 329    13,4    14,9    12,1     6,5     1,5     0,0     2,9     8,5
 330    13,5    14,9    11,9     6,4     1,4     0,0     3,1     8,6
 331    13,6    14,9    11,8     6,2     1,3     0,1     3,2     8,7
 332    13,7    14,9    11,7     6,1     1,3     0,1     3,3     8,9
 333    13,8    14,8    11,6     5,9     1,2     0,1     3,4     9,1
 334    13,9    14,8    11,5     5,8     1,1     0,1     3,5     9,2
 335    13,9    14,8    11,4     5,6     1,1     0,2     3,6     9,3
 336    14,0    14,7    11,2     5,5     0,9     0,2     3,8     9,4
 337    14,1    14,7    11,1     5,4     0,8     0,2     3,9     9,6
 338    14,2    14,6    10,9     5,2     0,8     0,4     4,0     9,8
 339    14,2    14,6    10,8     5,1     0,7     0,4     4,1     9,9
 340    14,3    14,5    10,7     4,9     0,7     0,4     4,2    10,0
 341    14,4    14,5    10,5     4,8     0,6     0,5     4,4    10,1
 342    14,4    14,5    10,4     4,7     0,6     0,5     4,6    10,4
 343    14,5    14,4    10,3     4,5     0,5     0,6     4,7    10,5
 344    14,5    14,4    10,2     4,4     0,5     0,6     4,8    10,6
 345    14,6    14,3    10,0     4,2     0,4     0,7     4,9    10,7
 346    14,6    14,2     9,9     4,1     0,4     0,7     5,1    10,8
 347    14,6    14,1     9,7     4,0     0,4     0,8     5,3    10,9
 348    14,7    14,1     9,6     3,9     0,2     0,9     5,4    11,1
 349    14,8    14,0     9,5     3,8     0,2     0,9     5,5    11,2
 350    14,8    13,9     9,3     3,6     0,2     1,1     5,6    11,4
 351    14,8    13,8     9,2     3,5     0,1     1,1     5,8    11,5
 352    14,8    13,8     9,0     3,4     0,1     1,2     6,0    11,6
 353    14,9    13,7     8,9     3,2     0,1     1,3     6,1    11,8
 354    14,9    13,6     8,7     3,1     0,1     1,4     6,2    11,9
 355    14,9    13,5     8,6     2,9     0,0     1,4     6,4    12,0
 356    14,9    13,4     8,4     2,8     0,0     1,5     6,6    12,1
 357    14,9    13,4     8,3     2,7     0,0     1,6     6,7    12,2
 358    14,9    13,2     8,1     2,6     0,0     1,8     6,8    12,4
 359    15,0    13,1     8,0     2,5     0,0     1,8     6,9    12,5
 360    15,0    13,1     7,8     2,5     0,0     1,9     7,2    12,6
 361    15,0    12,9     7,7     2,4     0,0     2,0     7,3    12,7
 362    15,0    12,8     7,5     2,2     0,0     2,1     7,4    12,7
 363    15,0    12,8     7,4     2,1     0,0     2,2     7,5    12,8
 364    15,0    12,6     7,2     2,0     0,0     2,4     7,8    12,9
 365    15,0    12,5     7,1     1,9     0,0     2,5     7,9    13,1
 366    15,0    12,4     6,9     1,8     0,0     2,6     8,0    13,2
 367    14,9    12,3     6,8     1,6     0,0     2,7     8,1    13,3
 368    14,9    12,2     6,6     1,6     0,0     2,8     8,4    13,3
 369    14,9    12,1     6,5     1,5     0,0     2,9     8,5    13,4
 370    14,9    11,9     6,4     1,4     0,0     3,1     8,6    13,5
 371    14,9    11,8     6,2     1,3     0,1     3,2     8,7    13,6
